component,layer,head,abs_delta
z,20,17,0.0048828125
z,20,14,0.0048828125
z,20,19,0.0048828125
z,20,20,0.0048828125
z,20,24,0.0048828125
z,20,15,0.0048828125
z,20,3,0.0048828125
z,27,6,0.0048828125
z,18,26,0.0048828125
z,9,0,0.0048828125
z,19,27,0.0048828125
z,30,25,0.0048828125
z,25,11,0.0048828125
z,25,15,0.0048828125
z,12,21,0.0048828125
z,30,27,0.0048828125
z,30,31,0.0048828125
z,12,9,0.0048828125
z,15,29,0.0048828125
z,23,11,0.0048828125
z,23,19,0.0048828125
z,24,21,0.0048828125
z,23,15,0.0048828125
z,26,0,0.0048828125
z,21,5,0.0048828125
z,27,29,0.0048828125
z,31,31,0.0048828125
z,18,28,0.0048828125
z,18,15,0.0048828125
z,28,3,0.0048828125
z,28,4,0.0048828125
z,27,13,0.0048828125
z,27,17,0.0048828125
z,27,9,0.0048828125
z,20,23,0.0048828125
z,27,5,0.0048828125
z,23,26,0.0048828125
z,22,5,0.0048828125
z,26,9,0.0048828125
z,26,10,0.0048828125
z,26,17,0.0048828125
z,22,8,0.0048828125
z,21,29,0.0048828125
z,23,9,0.004638671875
z,23,7,0.004638671875
z,15,27,0.004638671875
z,18,13,0.004638671875
z,30,4,0.004638671875
z,29,8,0.004638671875
z,29,6,0.004638671875
z,25,17,0.004638671875
z,25,4,0.004638671875
z,25,10,0.004638671875
z,25,24,0.004638671875
z,29,25,0.004638671875
z,29,13,0.004638671875
z,24,31,0.004638671875
z,21,30,0.004638671875
z,23,16,0.004638671875
z,14,20,0.004638671875
z,24,24,0.004638671875
z,24,4,0.004638671875
z,22,4,0.004638671875
z,20,29,0.004638671875
z,22,14,0.004638671875
z,21,10,0.004638671875
z,21,20,0.004638671875
z,18,30,0.004638671875
z,30,17,0.004638671875
z,30,16,0.004638671875
z,28,10,0.004638671875
z,27,22,0.004638671875
z,17,27,0.004638671875
z,16,17,0.004638671875
z,20,10,0.004638671875
z,26,30,0.004638671875
z,16,13,0.004638671875
z,28,1,0.004638671875
z,8,23,0.004638671875
z,15,12,0.004638671875
z,11,21,0.004638671875
z,14,26,0.004638671875
z,15,4,0.004638671875
z,15,11,0.004638671875
z,21,11,0.004638671875
z,21,7,0.004638671875
z,26,16,0.004638671875
z,22,24,0.004638671875
z,22,12,0.004638671875
z,22,3,0.004638671875
z,22,1,0.004638671875
z,23,28,0.004638671875
z,26,2,0.004638671875
z,23,14,0.004638671875
z,21,15,0.004638671875
z,29,12,0.00439453125
z,28,29,0.00439453125
z,25,26,0.00439453125
z,30,19,0.00439453125
z,25,9,0.00439453125
z,18,3,0.00439453125
z,28,7,0.00439453125
z,19,19,0.00439453125
z,28,6,0.00439453125
z,25,18,0.00439453125
z,25,3,0.00439453125
z,25,16,0.00439453125
z,29,9,0.00439453125
z,30,12,0.00439453125
z,18,16,0.00439453125
z,16,22,0.00439453125
z,20,16,0.00439453125
z,27,14,0.00439453125
z,19,13,0.00439453125
z,19,28,0.00439453125
z,28,13,0.00439453125
z,26,26,0.00439453125
z,25,30,0.00439453125
z,21,21,0.00439453125
z,20,9,0.00439453125
z,28,11,0.00439453125
z,26,27,0.00439453125
z,26,23,0.00439453125
z,16,15,0.00439453125
z,20,28,0.00439453125
z,22,22,0.00439453125
z,23,23,0.00439453125
z,15,16,0.00439453125
z,15,30,0.00439453125
z,23,18,0.00439453125
z,23,8,0.00439453125
z,23,5,0.00439453125
z,15,19,0.00439453125
