component,layer,head,abs_delta
z,3,10,0.06494140625
z,1,22,0.064453125
z,13,13,0.064208984375
z,23,9,0.064208984375
z,20,17,0.06396484375
z,2,3,0.0634765625
z,0,5,0.0634765625
z,25,3,0.0634765625
z,27,9,0.063232421875
z,23,18,0.063232421875
z,26,10,0.0631103515625
z,9,10,0.062744140625
z,20,4,0.0623779296875
z,10,21,0.0623779296875
z,18,17,0.062255859375
z,21,22,0.0616455078125
z,19,4,0.0615234375
z,27,0,0.0614013671875
z,12,19,0.0611572265625
z,20,12,0.060546875
z,8,6,0.060546875
z,17,16,0.0595703125
z,2,1,0.059326171875
z,14,10,0.0592041015625
z,1,16,0.0592041015625
z,2,2,0.0589599609375
z,1,18,0.0587158203125
z,2,13,0.058349609375
z,4,15,0.0582275390625
z,3,20,0.0579833984375
z,21,6,0.0576171875
z,20,0,0.057373046875
z,14,21,0.0570068359375
z,16,14,0.0570068359375
z,19,0,0.056884765625
z,24,3,0.056396484375
z,14,1,0.0560302734375
z,22,7,0.0556640625
z,17,4,0.05517578125
z,2,11,0.05517578125
z,21,23,0.05517578125
z,26,23,0.0550537109375
z,3,8,0.054931640625
z,0,13,0.0548095703125
z,20,16,0.0548095703125
z,27,16,0.0546875
z,23,22,0.0545654296875
z,1,0,0.054443359375
z,21,9,0.054443359375
z,3,15,0.0531005859375
z,3,4,0.0526123046875
z,22,19,0.05224609375
z,2,9,0.052001953125
z,2,8,0.052001953125
z,20,14,0.0517578125
z,3,5,0.0513916015625
z,10,11,0.05126953125
z,2,12,0.0506591796875
z,22,14,0.0506591796875
z,19,8,0.050537109375
z,15,6,0.050537109375
z,17,13,0.05029296875
z,23,7,0.050048828125
z,16,1,0.050048828125
z,16,11,0.050048828125
z,20,15,0.0494384765625
z,22,0,0.0491943359375
z,0,16,0.048583984375
z,6,20,0.0479736328125
z,1,23,0.0478515625
z,8,8,0.047607421875
z,17,9,0.0474853515625
z,0,11,0.047119140625
z,20,10,0.046875
z,20,5,0.0465087890625
z,21,13,0.0462646484375
z,25,9,0.0462646484375
z,17,19,0.0462646484375
z,22,2,0.045654296875
z,27,21,0.045654296875
z,2,6,0.04541015625
z,6,21,0.045166015625
z,22,9,0.045166015625
z,24,2,0.044677734375
z,17,18,0.044677734375
z,26,8,0.0443115234375
z,27,3,0.044189453125
z,19,18,0.044189453125
z,21,4,0.0435791015625
z,17,20,0.04345703125
z,25,0,0.0433349609375
z,24,20,0.0428466796875
z,27,10,0.042724609375
z,18,18,0.04248046875
z,20,3,0.041748046875
z,20,13,0.0416259765625
z,26,22,0.04150390625
z,6,19,0.041259765625
z,21,2,0.0406494140625
z,24,0,0.0404052734375
z,22,3,0.0404052734375
z,23,19,0.0401611328125
z,23,21,0.0400390625
z,22,11,0.0400390625
z,25,2,0.0394287109375
z,25,5,0.0389404296875
z,24,1,0.038330078125
z,8,7,0.0380859375
z,6,1,0.0379638671875
z,6,18,0.037841796875
z,5,17,0.0374755859375
z,22,18,0.0360107421875
z,18,15,0.035888671875
z,2,17,0.0357666015625
z,27,5,0.0350341796875
z,2,4,0.0347900390625
z,1,20,0.0345458984375
z,21,8,0.034423828125
z,16,13,0.034423828125
z,19,21,0.0341796875
z,16,23,0.0340576171875
z,9,19,0.033935546875
z,16,3,0.0338134765625
z,17,3,0.03369140625
z,17,12,0.033447265625
z,22,21,0.033203125
z,20,11,0.0328369140625
z,27,17,0.0325927734375
z,19,22,0.0322265625
z,17,23,0.0316162109375
z,23,12,0.03125
z,3,3,0.031005859375
z,2,15,0.031005859375
z,22,4,0.0308837890625
z,5,8,0.03076171875
z,21,7,0.02978515625
z,24,17,0.0296630859375
z,27,4,0.0296630859375
z,22,5,0.0294189453125
z,0,6,0.029296875
z,18,16,0.0291748046875
z,1,10,0.029052734375
z,17,14,0.0286865234375
z,27,13,0.02783203125
z,23,11,0.02783203125
z,0,19,0.0277099609375
z,27,12,0.0277099609375
z,21,19,0.0277099609375
z,2,10,0.027099609375
z,18,5,0.0262451171875
z,0,14,0.026123046875
z,22,10,0.026123046875
z,22,23,0.0255126953125
z,16,12,0.02490234375
z,5,16,0.0244140625
z,22,22,0.024169921875
z,22,20,0.0238037109375
z,25,4,0.0235595703125
z,18,3,0.0224609375
z,22,6,0.0223388671875
z,18,4,0.022216796875
z,19,12,0.02197265625
z,25,1,0.02197265625
z,19,23,0.0205078125
z,27,22,0.0184326171875
z,26,16,0.01806640625
z,5,6,0.017822265625
z,1,2,0.0172119140625
z,0,3,0.016845703125
z,0,10,0.0147705078125
z,1,7,0.0147705078125
z,14,2,0.012939453125
z,0,23,0.0111083984375
z,1,11,0.0086669921875
z,5,7,0.008056640625
z,0,22,0.005859375
